eventID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
IYS2022-Spirit-5-1-Trawl-2,IYS2022-Spirit-5-1-Trawl-2-sea_surface_temperature,sea_surface_temperature,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0381/,7.3,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
IYS2022-Spirit-5-1-Trawl-2,IYS2022-Spirit-5-1-Trawl-2-sea_water_temperature_1m,sea_water_temperature_1m,http://vocab.nerc.ac.uk/collection/P01/current/TEMPST01/,7,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
IYS2022-Spirit-5-2-Trawl-5,IYS2022-Spirit-5-2-Trawl-5-sea_surface_temperature,sea_surface_temperature,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0381/,5.9,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
IYS2022-Spirit-5-2-Trawl-5,IYS2022-Spirit-5-2-Trawl-5-sea_water_temperature_1m,sea_water_temperature_1m,http://vocab.nerc.ac.uk/collection/P01/current/TEMPST01/,6.1,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
IYS2022-Spirit-5-3-Trawl-7,IYS2022-Spirit-5-3-Trawl-7-sea_surface_temperature,sea_surface_temperature,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0381/,7.5,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
IYS2022-Spirit-5-3-Trawl-7,IYS2022-Spirit-5-3-Trawl-7-sea_water_temperature_1m,sea_water_temperature_1m,http://vocab.nerc.ac.uk/collection/P01/current/TEMPST01/,7.4,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
IYS2022-Spirit-5-4-Trawl-9,IYS2022-Spirit-5-4-Trawl-9-sea_surface_temperature,sea_surface_temperature,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0381/,9.5,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
IYS2022-Spirit-5-4-Trawl-9,IYS2022-Spirit-5-4-Trawl-9-sea_water_temperature_1m,sea_water_temperature_1m,http://vocab.nerc.ac.uk/collection/P01/current/TEMPST01/,8.6,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
IYS2022-Spirit-5-6-Trawl-12,IYS2022-Spirit-5-6-Trawl-12-sea_surface_temperature,sea_surface_temperature,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0381/,10.7,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
IYS2022-Spirit-5-6-Trawl-12,IYS2022-Spirit-5-6-Trawl-12-sea_water_temperature_1m,sea_water_temperature_1m,http://vocab.nerc.ac.uk/collection/P01/current/TEMPST01/,10.5,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
IYS2022-Spirit-5-7-Trawl-16,IYS2022-Spirit-5-7-Trawl-16-sea_surface_temperature,sea_surface_temperature,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0381/,11.7,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
IYS2022-Spirit-5-7-Trawl-16,IYS2022-Spirit-5-7-Trawl-16-sea_water_temperature_1m,sea_water_temperature_1m,http://vocab.nerc.ac.uk/collection/P01/current/TEMPST01/,9.1,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
IYS2022-Spirit-5-8-Trawl-19,IYS2022-Spirit-5-8-Trawl-19-sea_water_temperature_1m,sea_water_temperature_1m,http://vocab.nerc.ac.uk/collection/P01/current/TEMPST01/,9.2,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
IYS2022-Spirit-5-9-Trawl-22,IYS2022-Spirit-5-9-Trawl-22-sea_surface_temperature,sea_surface_temperature,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0381/,13.1,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
IYS2022-Spirit-5-9-Trawl-22,IYS2022-Spirit-5-9-Trawl-22-sea_water_temperature_1m,sea_water_temperature_1m,http://vocab.nerc.ac.uk/collection/P01/current/TEMPST01/,10.7,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
IYS2022-Spirit-5-10-Trawl-25,IYS2022-Spirit-5-10-Trawl-25-sea_surface_temperature,sea_surface_temperature,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0381/,13.2,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
IYS2022-Spirit-5-10-Trawl-25,IYS2022-Spirit-5-10-Trawl-25-sea_water_temperature_1m,sea_water_temperature_1m,http://vocab.nerc.ac.uk/collection/P01/current/TEMPST01/,10.2,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
IYS2022-Spirit-5-11-Trawl-26,IYS2022-Spirit-5-11-Trawl-26-sea_surface_temperature,sea_surface_temperature,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0381/,9.9,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
IYS2022-Spirit-5-11-Trawl-26,IYS2022-Spirit-5-11-Trawl-26-sea_water_temperature_1m,sea_water_temperature_1m,http://vocab.nerc.ac.uk/collection/P01/current/TEMPST01/,8.6,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
IYS2022-Spirit-5-15-Trawl-34,IYS2022-Spirit-5-15-Trawl-34-sea_water_temperature_1m,sea_water_temperature_1m,http://vocab.nerc.ac.uk/collection/P01/current/TEMPST01/,8.4,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
IYS2022-Spirit-5-16-Trawl-36,IYS2022-Spirit-5-16-Trawl-36-sea_surface_temperature,sea_surface_temperature,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0381/,8.5,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
IYS2022-Spirit-5-16-Trawl-36,IYS2022-Spirit-5-16-Trawl-36-sea_water_temperature_1m,sea_water_temperature_1m,http://vocab.nerc.ac.uk/collection/P01/current/TEMPST01/,8.3,NA,degrees celsius,https://vocab.nerc.ac.uk/collection/P06/current/UPAA/
