eventID,eventDate,year,month,day,decimalLatitude,decimalLongitude,minimumDepthInMeters,maximumDepthInMeters,geodeticDatum,datasetID,bibliographicCitation,language,modified,license
IYS2022-Spirit-5-1-Trawl-2,2022-02-27,2022,2,27,49,-135,0,8,WGS84, , ,en,2023-07-20,https://creativecommons.org/licenses/by/4.0/legalcode
IYS2022-Spirit-5-1-Trawl-3,2022-02-27,2022,2,27,49,-135,0,8,WGS84, , ,en,2023-07-20,https://creativecommons.org/licenses/by/4.0/legalcode
IYS2022-Spirit-5-2-Trawl-5,2022-03-01,2022,3,1,50,-138,0,8,WGS84, , ,en,2023-07-20,https://creativecommons.org/licenses/by/4.0/legalcode
IYS2022-Spirit-5-3-Trawl-7,2022-03-02,2022,3,2,49,-141,0,8,WGS84, , ,en,2023-07-20,https://creativecommons.org/licenses/by/4.0/legalcode
IYS2022-Spirit-5-4-Trawl-9,2022-03-03,2022,3,3,48,-138,0,8,WGS84, , ,en,2023-07-20,https://creativecommons.org/licenses/by/4.0/legalcode
IYS2022-Spirit-5-6-Trawl-12,2022-03-04,2022,3,4,47,-138,0,8,WGS84, , ,en,2023-07-20,https://creativecommons.org/licenses/by/4.0/legalcode
IYS2022-Spirit-5-6-Trawl-15,2022-03-05,2022,3,5,47,-138,0,8,WGS84, , ,en,2023-07-20,https://creativecommons.org/licenses/by/4.0/legalcode
IYS2022-Spirit-5-7-Trawl-16,2022-03-06,2022,3,6,47,-135,0,8,WGS84, , ,en,2023-07-20,https://creativecommons.org/licenses/by/4.0/legalcode
IYS2022-Spirit-5-7-Trawl-17,2022-03-06,2022,3,6,47,-135,0,8,WGS84, , ,en,2023-07-20,https://creativecommons.org/licenses/by/4.0/legalcode
IYS2022-Spirit-5-8-Trawl-19,2022-03-07,2022,3,7,46,-135,0,8,WGS84, , ,en,2023-07-20,https://creativecommons.org/licenses/by/4.0/legalcode
IYS2022-Spirit-5-8-Trawl-20,2022-03-07,2022,3,7,46,-135,0,8,WGS84, , ,en,2023-07-20,https://creativecommons.org/licenses/by/4.0/legalcode
IYS2022-Spirit-5-9-Trawl-22,2022-03-08,2022,3,8,45,-135,0,8,WGS84, , ,en,2023-07-20,https://creativecommons.org/licenses/by/4.0/legalcode
IYS2022-Spirit-5-9-Trawl-23,2022-03-08,2022,3,8,45,-135,0,8,WGS84, , ,en,2023-07-20,https://creativecommons.org/licenses/by/4.0/legalcode
IYS2022-Spirit-5-10-Trawl-25,2022-03-09,2022,3,9,46,-138,0,8,WGS84, , ,en,2023-07-20,https://creativecommons.org/licenses/by/4.0/legalcode
IYS2022-Spirit-5-11-Trawl-26,2022-03-11,2022,3,11,48,-135,0,8,WGS84, , ,en,2023-07-20,https://creativecommons.org/licenses/by/4.0/legalcode
IYS2022-Spirit-5-14-Trawl-30,2022-03-20,2022,3,20,47,-138,0,8,WGS84, , ,en,2023-07-20,https://creativecommons.org/licenses/by/4.0/legalcode
IYS2022-Spirit-5-14-Trawl-31,2022-03-20,2022,3,20,47,-138,0,8,WGS84, , ,en,2023-07-20,https://creativecommons.org/licenses/by/4.0/legalcode
IYS2022-Spirit-5-15-Trawl-34,2022-03-22,2022,3,22,48,-135,0,8,WGS84, , ,en,2023-07-20,https://creativecommons.org/licenses/by/4.0/legalcode
IYS2022-Spirit-5-16-Trawl-36,2022-03-23,2022,3,23,48,-133,0,8,WGS84, , ,en,2023-07-20,https://creativecommons.org/licenses/by/4.0/legalcode
